ntv_rich	area
1.897627091	1.602059991
1.633468456	0.477121255
2.597695186	3.432488256
2.238046103	1.785329835
2.712649702	3.075546961
2.396199347	3.130333768
2.572871602	4.133538908
1.176091259	0.602059991
1.875061263	0.602059991
2.568201724	3.278753601
2.079181246	2.10720997
1.380211242	1
2.781755375	4.133538908
1.322219295	0.903089987
2.792391689	4.425990446
1.944482672	2.146128036
2.795880017	4.037426498
2.558708571	3.361727836
2.257678575	1.531478917
2.350248018	2.544068044
1.995635195	1.672097858
1.838849091	1.662757832
